QN,Type,Question,A,B,C,D,E,F,CorrectOption
1,MCQ,"After the Product Backlog has been created by the Product Owner at the beginning of a new project, items cannot be added, removed, or changed.", True, False,,,,,B
2,MCQ,All communication between the Dev Team and Product Owner is required to go through the Scrum Master., True, False,,,,,B
3,MCQ,Product Backlog Items the Dev Team does not complete in a Sprint automatically get added to the next Sprint. , True, False,,,,,B
4,MCQ,"During the Sprint, Dev Team members can decide to switch tasks with each other. ", True, False,,,,,A
5,MCQ,"“Cross-functional” means everyone on the Dev Team is required to have all the skills – design, coding, testing, etc.", True, False,,,,,B
6,MCQ,"It is recommended that the Sprint Review be attended by the Dev Team, Product Owner, Scrum Master, as well as other stakeholders (like customers or end-users).", True, False,,,,,A
7,MCQ,"In Scrum, testing is mostly done in the final phase of the project, just before the release.", True, False,,,,,B
8,MCQ,"When a Dev Team sets a goal for a Sprint, they’re not making a promise about what they’ll complete – they’re making a commitment to do their best.", True, False,,,,,A
9,MCQ,"In Scrum, the product must be of potentially shippable “doneness” and quality at the end of every Sprint, but it only ships when the Product Owner feels the timing is  right and it is feature- complete enough to ship.", True, False,,,,,A
10,MCQ,"In Scrum, the architecture of the system is finalized at the very beginning of the project.", True, False,,,,,B
11,MCQ,It is recommended that management attend the Daily Scrum Meeting., True, False,,,,,B
12,MCQ,"In Scrum, most of the testing is done during each Sprint, to ensure defects are found and fixed as early as possible.", True, False,,,,,A
13,MCQ," In the Sprint Retrospective the Dev Team, Scrum Master and Product Owner discuss how to improve their practices and way of working.", True, False,,,,,A
14,MCQ,"It is recommended that customers, end users, and other stakeholders be invited to the Sprint Review.", True, False,,,,,A
15,MCQ,Items at the top of the Product Backlog are usually sliced smaller and have more details than those at the bottom., True, False,,,,,A
16,MCQ,"It is recommended that the Sprint Review be limited just to the Product Owner, Dev Team and Scrum Master.", True, False,,,,,B
17,MCQ,"Scrum recommends that no documentation be completed, because time spent on it is wasteful.", True, False,,,,,B
18,MCQ,The “Definition of Done” is different for every single Product Backlog Item., True, False,,,,,B
19,MCQ,The “Definition of Done” is decided solely by the Product Owner., True, False,,,,,B
20,MCQ,Dev Team members are only required to go to the Daily Scrum Meeting if they have blocks to report., True, False,,,,,B
21,MCQ,A key principle of Scrum is its recognition that during a project __________% Of requirements changes.,05-Oct,15-30,20-30,60-65,,,D
22,MCQ,What if when Scrum Master is not available for a sprint? (Best possible answer from options below), The sprint may not meet the expectations, The sprint won't be able to deliver any value, The sprint will not happen, Someone/few from team can assume the responsibilities of the Scrum Master.,,,D
23,MCQ,Scrum Describes_________approach in project management., Customized, Centralized approach, Iterative & Incremental, All The Above,,,C
24,MCQ,Where are the customer requirement stored?, In the Product Backlog, In the Spring Backlog, In a Database, In a Scrum product Requirement specification,,,A
25,MCQ,Where can scrum be used?, Managing the scrum Operation of an organization, Development and sustaining of cloud and operational environment," Research & identifying of variable market, technologies and product capabilities", All of the above,,,D
26,MCQ,_____ identifies the business value of a feature within the scrum project., End users, Business Sponsors, The Product Owner, Internal Customer,,,C
27,MCQ,Which of the following options is NOT completely true?," The Scrum Master has no authority over Scrum team members, but that authority is granted by the team."," If needed, the Scrum Master will work with the Product Owner to make sure the Product Backlog is in good shape and ready for the next sprint."," The Scrum Master role is commonly filled by a former project manager or a technical team leader, but can be anyone.", Changing Scrum Masters midstream a project will encourage self- empowerment of the Development Team.,,,D
28,MCQ,"A team member is consistently late for Daily Scrum, what is usually the first thing a Team should do?", Report the team to his/her manager, Have the team member do the testing, Meet the team member to determine a solution, Ask the Scrum Master to move the Team member off the Team,,,C
29,MCQ,Who should define the business value of a feature within the scrum project ?, The Individual end –users, The Product Owner, The Business Analyst, The Business Sponsored,,,B
30,MCQ,The Scrum Framework encompasses rules of guidelines for documentations?,TRUE,FALSE,,,,,B
